season,seed,seat,arm,points,rank,top3,win,field_avg
2019,0,8,Model,1643.7800000000002,11,0,0,1761.6683333333333
2019,0,8,Blend,1795.46,3,1,0,1756.2250000000004
2019,0,9,ADP order,1817.52,5,0,0,1782.761666666667
2019,0,9,ADP value,1791.68,5,0,0,1786.8300000000002
2019,0,9,Model,1643.7800000000002,11,0,0,1761.6683333333333
2019,0,9,Blend,1793.96,3,1,0,1767.115
2019,0,10,ADP order,1780.42,6,0,0,1782.1833333333332
2019,0,10,ADP value,1828.5600000000002,5,0,0,1782.5500000000002
2019,0,10,Model,1643.7800000000002,11,0,0,1761.6683333333333
2019,0,10,Blend,1793.96,3,1,0,1767.115
2019,0,11,ADP order,1780.42,6,0,0,1782.1833333333332
2019,0,11,ADP value,1891.28,2,1,0,1782.2849999999999
2019,0,11,Model,1739.32,6,0,0,1762.5349999999999
2019,0,11,Blend,1793.96,3,1,0,1767.115
2019,1,0,ADP order,1691.2399999999998,10,0,0,1767.8833333333334
2019,1,0,ADP value,1741.24,8,0,0,1772.4483333333335
2019,1,0,Model,1694.3000000000002,9,0,0,1763.3883333333333
2019,1,0,Blend,1803.4399999999996,6,0,0,1754.8866666666665
2019,1,1,ADP order,1761.66,7,0,0,1776.0483333333334
2019,1,1,ADP value,1679.8600000000001,9,0,0,1760.7366666666665
2019,1,1,Model,1666.6999999999998,9,0,0,1757.5449999999994
2019,1,1,Blend,1998.5400000000004,1,1,1,1755.695
2019,1,2,ADP order,1855.2600000000002,5,0,0,1780.8150000000003
2019,1,2,ADP value,1692.2599999999998,9,0,0,1759.006666666667
2019,1,2,Model,1768.02,4,0,0,1753.5616666666665
2019,1,2,Blend,1790.08,6,0,0,1738.0249999999999
2019,1,3,ADP order,1992.7600000000002,1,1,1,1780.9733333333334
2019,1,3,ADP value,1781.3600000000001,4,0,0,1753.7116666666664
2019,1,3,Model,1782.8200000000004,4,0,0,1737.4283333333335
2019,1,3,Blend,1862.1000000000001,3,1,0,1746.9733333333334
2019,1,4,ADP order,1670.3400000000001,9,0,0,1762.8650000000005
2019,1,4,ADP value,1752.4400000000003,4,0,0,1744.6416666666667
2019,1,4,Model,1781.72,4,0,0,1737.8950000000002
2019,1,4,Blend,1889.72,3,1,0,1744.2816666666668
2019,1,5,ADP order,1889.54,1,1,1,1756.1449999999998
2019,1,5,ADP value,1746.3399999999997,6,0,0,1754.0483333333334
2019,1,5,Model,1843.42,3,1,0,1742.0116666666665
2019,1,5,Blend,1859.02,4,0,0,1750.6066666666666
2019,1,6,ADP order,1900.5399999999997,1,1,1,1755.3249999999998
2019,1,6,ADP value,1750.44,4,0,0,1758.9283333333335
2019,1,6,Model,1716.7600000000002,9,0,0,1763.2133333333331
2019,1,6,Blend,1848.6200000000003,4,0,0,1737.9133333333332
2019,1,7,ADP order,2047.44,1,1,1,1744.4083333333335
2019,1,7,ADP value,1718.24,7,0,0,1759.4866666666667
2019,1,7,Model,1625.8600000000001,11,0,0,1761.955
2019,1,7,Blend,1848.6200000000003,4,0,0,1737.9133333333332
2019,1,8,ADP order,1962.24,2,1,0,1753.3816666666664
2019,1,8,ADP value,1705.6399999999999,7,0,0,1754.8833333333332
2019,1,8,Model,1795.12,4,0,0,1757.04
2019,1,8,Blend,1816.9,4,0,0,1739.1033333333335
2019,1,9,ADP order,1969.48,1,1,1,1731.9816666666666
2019,1,9,ADP value,1746.7400000000002,5,0,0,1756.2850000000005
2019,1,9,Model,1795.12,4,0,0,1757.04
2019,1,9,Blend,1790.4,5,0,0,1745.4016666666669
2019,1,10,ADP order,2077.7799999999997,1,1,1,1732.5649999999998
2019,1,10,ADP value,1746.7400000000002,5,0,0,1756.2850000000005
2019,1,10,Model,1795.12,4,0,0,1757.04
2019,1,10,Blend,1790.4,5,0,0,1745.4016666666669
2019,1,11,ADP order,2055.74,1,1,1,1746.9483333333337
2019,1,11,ADP value,1711.1399999999999,7,0,0,1752.835
2019,1,11,Model,1795.12,4,0,0,1757.04
2019,1,11,Blend,1672.78,8,0,0,1743.0566666666664
2019,2,0,ADP order,1867.6400000000003,4,0,0,1746.6733333333334
2019,2,0,ADP value,1502.72,12,0,0,1760.8216666666665
2019,2,0,Model,1831.5800000000002,5,0,0,1741.2766666666669
2019,2,0,Blend,1941.98,3,1,0,1738.9600000000003
2019,2,1,ADP order,1857.4600000000005,4,0,0,1745.89
2019,2,1,ADP value,1522.3600000000001,10,0,0,1753.7166666666665
2019,2,1,Model,1811.88,5,0,0,1749.9433333333336
2019,2,1,Blend,2125.88,1,1,1,1745.051666666667
2019,2,2,ADP order,2014.12,1,1,1,1732.0183333333332
2019,2,2,ADP value,1657.8399999999997,8,0,0,1763.4666666666665
2019,2,2,Model,1811.88,5,0,0,1749.9433333333336
2019,2,2,Blend,2125.88,1,1,1,1745.051666666667
2019,2,3,ADP order,2015.52,1,1,1,1731.0933333333332
2019,2,3,ADP value,1776.82,6,0,0,1747.5633333333333
2019,2,3,Model,1787.6800000000003,4,0,0,1751.2583333333332
2019,2,3,Blend,2015.98,1,1,1,1747.8100000000002
2019,2,4,ADP order,2159.56,1,1,1,1735.2716666666665
2019,2,4,ADP value,1877.3400000000004,4,0,0,1752.7983333333334
2019,2,4,Model,1770.0800000000002,6,0,0,1754.76
2019,2,4,Blend,1939.9600000000003,2,1,0,1728.2616666666665
2019,2,5,ADP order,1997.62,3,1,0,1744.3033333333335
2019,2,5,ADP value,1711.1200000000001,8,0,0,1742.6783333333333
2019,2,5,Model,1839.6800000000003,4,0,0,1739.9733333333334
2019,2,5,Blend,1731.5600000000004,5,0,0,1723.4516666666666
2019,2,6,ADP order,1892.62,2,1,0,1741.3916666666667
2019,2,6,ADP value,1616.92,9,0,0,1746.2949999999998
2019,2,6,Model,1740.4799999999998,4,0,0,1744.4899999999998
2019,2,6,Blend,1780.48,5,0,0,1732.5683333333336
2019,2,7,ADP order,1892.62,2,1,0,1741.3916666666667
2019,2,7,ADP value,1644.74,9,0,0,1754.216666666667
2019,2,7,Model,1754.76,5,0,0,1746.6716666666664
2019,2,7,Blend,1755.9799999999998,8,0,0,1736.2766666666669
2019,2,8,ADP order,1897.32,1,1,1,1747.7933333333333
2019,2,8,ADP value,1616.7200000000003,10,0,0,1754.1883333333333
2019,2,8,Model,1754.76,5,0,0,1746.6716666666664
2019,2,8,Blend,1755.9799999999998,8,0,0,1736.2766666666669
2019,2,9,ADP order,1892.8200000000002,4,0,0,1734.4683333333332
2019,2,9,ADP value,1625.24,10,0,0,1740.246666666667
2019,2,9,Model,1754.76,5,0,0,1746.6716666666664
2019,2,9,Blend,1818.78,5,0,0,1736.3600000000004
2019,2,10,ADP order,1958.8200000000004,2,1,0,1748.2666666666664
2019,2,10,ADP value,1774.5400000000004,6,0,0,1742.5883333333331
2019,2,10,Model,1835.98,4,0,0,1741.0649999999998
2019,2,10,Blend,1818.78,5,0,0,1736.36
2019,2,11,ADP order,2114.02,1,1,1,1755.5433333333333
2019,2,11,ADP value,1772.04,6,0,0,1739.4333333333334
2019,2,11,Model,1709.9800000000002,5,0,0,1743.2466666666667
2019,2,11,Blend,1818.78,5,0,0,1736.36
2019,3,0,ADP order,1661.22,9,0,0,1762.8666666666668
2019,3,0,ADP value,1686.1599999999999,8,0,0,1754.986666666667
2019,3,0,Model,1710.3999999999999,7,0,0,1769.135
2019,3,0,Blend,1857.1000000000001,4,0,0,1781.158333333333
2019,3,1,ADP order,1517.6,11,0,0,1750.9516666666666
2019,3,1,ADP value,1654.1400000000003,9,0,0,1754.2833333333338
2019,3,1,Model,1682.6999999999998,9,0,0,1754.8583333333333
2019,3,1,Blend,2022.6,3,1,0,1778.9166666666667
2019,3,2,ADP order,1772.2000000000005,8,0,0,1760.665
2019,3,2,ADP value,1839.0400000000002,5,0,0,1745.256666666667
2019,3,2,Model,1597.3799999999999,10,0,0,1750.9016666666666
2019,3,2,Blend,1796.42,7,0,0,1761.8166666666668
2019,3,3,ADP order,1772.7400000000002,8,0,0,1762.2433333333336
2019,3,3,ADP value,1839.0400000000002,5,0,0,1745.256666666667
2019,3,3,Model,1597.3799999999999,10,0,0,1750.9016666666666
2019,3,3,Blend,1796.42,7,0,0,1761.8166666666668
2019,3,4,ADP order,1677.9199999999998,8,0,0,1759.6266666666668
2019,3,4,ADP value,1950.58,3,1,0,1760.5233333333333
2019,3,4,Model,1688.8,10,0,0,1764.9666666666665
2019,3,4,Blend,1984.2600000000002,3,1,0,1755.1466666666668
2019,3,5,ADP order,1463.5200000000002,11,0,0,1751.7283333333335
2019,3,5,ADP value,1595.54,9,0,0,1745.551666666667
2019,3,5,Model,1688.8,10,0,0,1764.9666666666665
2019,3,5,Blend,1861.5,3,1,0,1750.3099999999997
2019,3,6,ADP order,1182.52,12,0,0,1754.2450000000001
2019,3,6,ADP value,1382.74,12,0,0,1738.9083333333335
2019,3,6,Model,1619.18,10,0,0,1758.0233333333335
2019,3,6,Blend,1735.9399999999998,6,0,0,1753.71
2019,3,7,ADP order,1404.32,12,0,0,1744.3533333333332
2019,3,7,ADP value,1578.5399999999997,10,0,0,1749.1499999999999
2019,3,7,Model,1619.18,10,0,0,1765.755
2019,3,7,Blend,1836.92,6,0,0,1738.0183333333334
2019,3,8,ADP order,1494.26,11,0,0,1764.095
2019,3,8,ADP value,1578.5399999999997,10,0,0,1749.1500000000003
2019,3,8,Model,1598.2800000000002,10,0,0,1770.0649999999998
2019,3,8,Blend,1806.62,6,0,0,1746.703333333333
2019,3,9,ADP order,1661.0000000000005,9,0,0,1762.3216666666667
2019,3,9,ADP value,1578.5399999999997,10,0,0,1749.1500000000003
2019,3,9,Model,1692.7600000000002,7,0,0,1766.8483333333336
2019,3,9,Blend,1710.06,9,0,0,1772.501666666667
2019,3,10,ADP order,1735.66,7,0,0,1757.7433333333336
2019,3,10,ADP value,1500.64,10,0,0,1746.3083333333334
2019,3,10,Model,1718.4200000000003,9,0,0,1774.4350000000002
2019,3,10,Blend,1804.22,6,0,0,1764.1166666666668
2019,3,11,ADP order,1750.9599999999998,6,0,0,1760.0783333333336
2019,3,11,ADP value,1774.4800000000002,6,0,0,1754.9066666666668
2019,3,11,Model,1800.32,6,0,0,1770.1066666666666
2019,3,11,Blend,1833.54,4,0,0,1752.9533333333331
2019,4,0,ADP order,1581.9000000000003,10,0,0,1771.4650000000001
2019,4,0,ADP value,1587.16,10,0,0,1759.3100000000002
2019,4,0,Model,1807.6000000000001,5,0,0,1756.128333333333
2019,4,0,Blend,1697.5400000000002,9,0,0,1757.0833333333337
2019,4,1,ADP order,1826.3,4,0,0,1764.7666666666667
2019,4,1,ADP value,1745.02,5,0,0,1768.5416666666667
2019,4,1,Model,1696.98,7,0,0,1761.6166666666668
2019,4,1,Blend,1984.0600000000002,1,1,1,1764.9016666666666
2019,4,2,ADP order,1828.8000000000002,4,0,0,1754.0966666666666
2019,4,2,ADP value,1754.52,5,0,0,1768.283333333333
2019,4,2,Model,1616.38,9,0,0,1754.8583333333333
2019,4,2,Blend,1778.8799999999997,5,0,0,1762.5349999999999
2019,4,3,ADP order,1667.5,9,0,0,1758.721666666667
2019,4,3,ADP value,1712.48,8,0,0,1762.7200000000003
2019,4,3,Model,1630.4799999999998,9,0,0,1760.175
2019,4,3,Blend,1725.26,7,0,0,1778.0883333333334
2019,4,4,ADP order,1757.24,6,0,0,1763.7699999999998
2019,4,4,ADP value,1549.16,11,0,0,1753.655
2019,4,4,Model,1752.6000000000001,4,0,0,1755.3616666666667
2019,4,4,Blend,1768.9200000000003,6,0,0,1747.4316666666664
2019,4,5,ADP order,1391.7600000000002,12,0,0,1752.9250000000002
2019,4,5,ADP value,1589.96,11,0,0,1753.8216666666667
2019,4,5,Model,1751.8,6,0,0,1758.6549999999997
2019,4,5,Blend,1768.9200000000003,6,0,0,1747.4316666666664
2019,4,6,ADP order,1367.2,12,0,0,1737.155
2019,4,6,ADP value,1648.6599999999999,10,0,0,1757.1466666666665
2019,4,6,Model,1710.0000000000002,8,0,0,1745.7166666666665
2019,4,6,Blend,1685.9,6,0,0,1738.0199999999995
2019,4,7,ADP order,1519.98,11,0,0,1747.6833333333332
2019,4,7,ADP value,1510.16,11,0,0,1754.8133333333335
2019,4,7,Model,1695.7000000000003,8,0,0,1750.1583333333335
2019,4,7,Blend,1651.8000000000002,11,0,0,1758.7683333333337
2019,4,8,ADP order,1395.98,12,0,0,1753.555
2019,4,8,ADP value,1451.96,12,0,0,1765.675
2019,4,8,Model,1601.88,11,0,0,1749.8783333333333
2019,4,8,Blend,1651.8000000000002,11,0,0,1758.7683333333334
2019,4,9,ADP order,1299.3200000000002,12,0,0,1753.88
2019,4,9,ADP value,1497.0,12,0,0,1745.9766666666665
2019,4,9,Model,1601.88,11,0,0,1749.8783333333333
2019,4,9,Blend,1739.1000000000001,7,0,0,1759.825
2019,4,10,ADP order,1504.54,11,0,0,1772.0983333333336
2019,4,10,ADP value,1623.5000000000005,9,0,0,1748.6066666666666
2019,4,10,Model,1684.8999999999999,8,0,0,1752.0450000000003
2019,4,10,Blend,1739.1000000000001,7,0,0,1759.8249999999998
2019,4,11,ADP order,1874.44,3,1,0,1766.7066666666667
2019,4,11,ADP value,1622.6000000000004,9,0,0,1749.5816666666663
2019,4,11,Model,1630.5,10,0,0,1782.0733333333335
2019,4,11,Blend,1718.2,9,0,0,1749.6450000000002
2019,5,0,ADP order,1815.2200000000003,5,0,0,1748.655
2019,5,0,ADP value,1722.3399999999997,8,0,0,1747.825
2019,5,0,Model,1882.5800000000002,3,1,0,1762.9600000000003
2019,5,0,Blend,1943.4599999999998,2,1,0,1737.743333333333
2019,5,1,ADP order,1944.74,2,1,0,1752.666666666667
2019,5,1,ADP value,1843.96,4,0,0,1746.0416666666667
2019,5,1,Model,1762.8799999999999,7,0,0,1770.6066666666666
2019,5,1,Blend,1978.7600000000002,2,1,0,1743.6783333333333
2019,5,2,ADP order,2131.08,1,1,1,1739.753333333333
2019,5,2,ADP value,2067.96,1,1,1,1744.7266666666665
2019,5,2,Model,1709.6599999999999,9,0,0,1774.5683333333334
2019,5,2,Blend,2053.0599999999995,1,1,1,1745.57
2019,5,3,ADP order,2019.92,1,1,1,1747.8916666666667
2019,5,3,ADP value,1945.8200000000002,2,1,0,1772.8966666666665
2019,5,3,Model,1799.3799999999997,7,0,0,1761.9799999999998
2019,5,3,Blend,1955.5400000000002,1,1,1,1745.8766666666663
2019,5,4,ADP order,2073.02,1,1,1,1751.4616666666664
2019,5,4,ADP value,1965.44,2,1,0,1772.7366666666667
2019,5,4,Model,1799.3799999999997,7,0,0,1761.9799999999998
2019,5,4,Blend,1930.3600000000001,2,1,0,1761.0866666666661
2019,5,5,ADP order,1810.92,4,0,0,1754.76
2019,5,5,ADP value,1724.8399999999997,9,0,0,1763.6300000000003
2019,5,5,Model,1799.3799999999997,7,0,0,1761.9799999999998
2019,5,5,Blend,1849.9999999999998,4,0,0,1752.345
2019,5,6,ADP order,1772.54,6,0,0,1747.22
2019,5,6,ADP value,1694.4400000000003,8,0,0,1760.1300000000003
2019,5,6,Model,1811.52,6,0,0,1750.9449999999997
2019,5,6,Blend,1776.8000000000002,6,0,0,1754.2333333333333
2019,5,7,ADP order,1655.24,10,0,0,1750.8833333333332
2019,5,7,ADP value,1699.74,8,0,0,1758.7366666666667
2019,5,7,Model,1731.2,5,0,0,1740.6399999999996
2019,5,7,Blend,1845.9000000000003,4,0,0,1754.4583333333333
2019,5,8,ADP order,1694.9399999999996,7,0,0,1746.3949999999998
2019,5,8,ADP value,1631.0399999999997,10,0,0,1750.1366666666665
2019,5,8,Model,1731.2,5,0,0,1740.64
2019,5,8,Blend,1816.22,4,0,0,1734.841666666667
2019,5,9,ADP order,1656.24,11,0,0,1765.42
2019,5,9,ADP value,1569.2400000000002,12,0,0,1755.825
2019,5,9,Model,1630.0000000000002,10,0,0,1757.42
2019,5,9,Blend,1816.22,4,0,0,1734.841666666667
2019,5,10,ADP order,1646.9399999999996,11,0,0,1769.9449999999997
2019,5,10,ADP value,1576.14,12,0,0,1752.1899999999998
2019,5,10,Model,1630.0000000000002,10,0,0,1757.42
2019,5,10,Blend,1735.9199999999998,5,0,0,1724.5116666666665
2019,5,11,ADP order,1746.78,7,0,0,1761.8999999999999
2019,5,11,ADP value,1634.88,11,0,0,1748.515
2019,5,11,Model,1630.0000000000002,10,0,0,1757.42
2019,5,11,Blend,1747.4199999999998,6,0,0,1728.1199999999997
2019,6,0,ADP order,1612.18,10,0,0,1758.9883333333335
2019,6,0,ADP value,1475.42,12,0,0,1748.7816666666665
2019,6,0,Model,1685.9999999999998,9,0,0,1762.3933333333332
2019,6,0,Blend,1805.3399999999997,4,0,0,1771.2983333333334
2019,6,1,ADP order,1612.6999999999998,11,0,0,1767.221666666667
2019,6,1,ADP value,1513.14,11,0,0,1764.3483333333331
2019,6,1,Model,1687.0,11,0,0,1768.3433333333332
2019,6,1,Blend,2001.84,1,1,1,1758.4733333333331
2019,6,2,ADP order,1764.5799999999997,7,0,0,1761.5216666666665
2019,6,2,ADP value,1825.2399999999998,4,0,0,1771.3466666666664
2019,6,2,Model,1687.0,11,0,0,1768.3433333333332
2019,6,2,Blend,1976.1399999999999,1,1,1,1762.3683333333336
2019,6,3,ADP order,1956.9799999999998,2,1,0,1765.6116666666667
2019,6,3,ADP value,1791.04,6,0,0,1772.386666666667
2019,6,3,Model,1659.8,10,0,0,1765.7916666666667
2019,6,3,Blend,2053.5400000000004,1,1,1,1754.9000000000003
2019,6,4,ADP order,1710.2800000000002,9,0,0,1761.6983333333335
2019,6,4,ADP value,1604.22,10,0,0,1759.4366666666665
2019,6,4,Model,1659.8,10,0,0,1765.7916666666667
2019,6,4,Blend,1845.1800000000003,4,0,0,1767.305
2019,6,5,ADP order,1586.3799999999999,10,0,0,1753.1883333333333
2019,6,5,ADP value,1512.6200000000001,11,0,0,1755.7366666666667
2019,6,5,Model,1606.6999999999998,12,0,0,1769.073333333333
2019,6,5,Blend,1787.18,6,0,0,1756.9483333333335
2019,6,6,ADP order,1776.16,8,0,0,1745.7300000000002
2019,6,6,ADP value,1537.9399999999998,11,0,0,1758.1416666666664
2019,6,6,Model,1606.6999999999998,12,0,0,1769.0733333333335
2019,6,6,Blend,1787.18,6,0,0,1756.9483333333335
2019,6,7,ADP order,1711.8799999999999,9,0,0,1753.2833333333335
2019,6,7,ADP value,1537.9399999999998,11,0,0,1758.1416666666664
2019,6,7,Model,1563.68,12,0,0,1774.1083333333333
2019,6,7,Blend,1828.48,4,0,0,1769.4416666666668
2019,6,8,ADP order,1805.0800000000002,5,0,0,1761.7683333333334
2019,6,8,ADP value,1542.62,11,0,0,1769.53
2019,6,8,Model,1664.66,9,0,0,1765.6650000000002
2019,6,8,Blend,1828.48,4,0,0,1769.4416666666666
2019,6,9,ADP order,1769.3799999999997,9,0,0,1768.6916666666666
2019,6,9,ADP value,1766.3199999999997,7,0,0,1766.2633333333333
2019,6,9,Model,1664.66,9,0,0,1765.6650000000002
2019,6,9,Blend,1921.88,2,1,0,1767.5
2019,6,10,ADP order,1913.4999999999998,3,1,0,1776.9533333333336
2019,6,10,ADP value,1818.38,4,0,0,1757.2933333333333
2019,6,10,Model,1596.18,12,0,0,1783.79
2019,6,10,Blend,1945.2400000000002,1,1,1,1778.4383333333333
2019,6,11,ADP order,2057.58,1,1,1,1769.1083333333336
2019,6,11,ADP value,1812.6800000000003,4,0,0,1753.2983333333334
2019,6,11,Model,1674.98,10,0,0,1773.9449999999997
2019,6,11,Blend,1929.5000000000005,3,1,0,1783.7816666666665
2019,7,0,ADP order,1571.38,9,0,0,1730.6350000000002
2019,7,0,ADP value,1379.34,12,0,0,1743.8216666666665
2019,7,0,Model,1889.2,2,1,0,1731.5
2019,7,0,Blend,1945.3,2,1,0,1727.176666666667
2019,7,1,ADP order,1768.8199999999997,7,0,0,1738.2450000000001
2019,7,1,ADP value,1369.2600000000002,12,0,0,1743.555
2019,7,1,Model,1855.6,2,1,0,1729.5666666666666
2019,7,1,Blend,2121.0000000000005,1,1,1,1727.7266666666671
2019,7,2,ADP order,1768.8199999999997,7,0,0,1738.2450000000001
2019,7,2,ADP value,1491.2399999999998,12,0,0,1747.0683333333334
2019,7,2,Model,1784.98,7,0,0,1751.1883333333333
2019,7,2,Blend,1733.18,7,0,0,1751.0516666666665
2019,7,3,ADP order,1823.84,5,0,0,1747.3350000000003
2019,7,3,ADP value,1719.3199999999997,8,0,0,1745.3950000000002
2019,7,3,Model,1784.98,7,0,0,1751.1883333333333
2019,7,3,Blend,1952.3400000000001,1,1,1,1738.3383333333334
2019,7,4,ADP order,1640.2800000000004,8,0,0,1739.641666666667
2019,7,4,ADP value,1597.4199999999998,12,0,0,1731.6366666666665
2019,7,4,Model,1784.98,7,0,0,1751.1883333333333
2019,7,4,Blend,1908.18,2,1,0,1740.6133333333335
2019,7,5,ADP order,1794.3400000000001,6,0,0,1743.1016666666667
2019,7,5,ADP value,1577.5400000000004,10,0,0,1735.1950000000004
2019,7,5,Model,1869.4799999999998,2,1,0,1732.1000000000001
2019,7,5,Blend,1936.4,1,1,1,1735.6416666666667
2019,7,6,ADP order,1792.6799999999998,6,0,0,1748.1383333333333
2019,7,6,ADP value,1506.14,12,0,0,1739.0216666666665
2019,7,6,Model,1840.3799999999999,2,1,0,1736.425
2019,7,6,Blend,1917.0,2,1,0,1732.4883333333335
2019,7,7,ADP order,1564.22,11,0,0,1749.4783333333335
2019,7,7,ADP value,1362.14,12,0,0,1738.1216666666667
2019,7,7,Model,1939.7,1,1,1,1740.096666666667
2019,7,7,Blend,1828.68,3,1,0,1732.1616666666666
2019,7,8,ADP order,1539.12,11,0,0,1758.1783333333333
2019,7,8,ADP value,1402.2399999999998,12,0,0,1727.4850000000004
2019,7,8,Model,1773.1000000000001,5,0,0,1721.7816666666665
2019,7,8,Blend,1828.68,3,1,0,1732.1616666666666
2019,7,9,ADP order,1903.28,3,1,0,1745.7
2019,7,9,ADP value,1622.9800000000002,8,0,0,1726.9433333333336
2019,7,9,Model,1773.1000000000001,5,0,0,1721.7816666666665
2019,7,9,Blend,1824.0,3,1,0,1756.0283333333334
2019,7,10,ADP order,1735.4,6,0,0,1744.1483333333335
2019,7,10,ADP value,1711.1799999999998,6,0,0,1741.9366666666665
2019,7,10,Model,1693.4799999999998,10,0,0,1732.7216666666664
2019,7,10,Blend,1937.9000000000003,3,1,0,1748.461666666667
2019,7,11,ADP order,1778.1999999999998,5,0,0,1733.556666666667
2019,7,11,ADP value,1726.4800000000002,4,0,0,1734.3099999999997
2019,7,11,Model,1679.42,10,0,0,1743.6449999999998
2019,7,11,Blend,1937.9000000000003,3,1,0,1748.461666666667
2019,8,0,ADP order,1786.2800000000002,6,0,0,1751.2316666666666
2019,8,0,ADP value,1644.54,9,0,0,1740.9400000000003
2019,8,0,Model,1806.88,5,0,0,1743.1116666666667
2019,8,0,Blend,1628.6599999999999,10,0,0,1739.03
2019,8,1,ADP order,2024.48,1,1,1,1746.61
2019,8,1,ADP value,1799.1399999999999,4,0,0,1734.3583333333336
2019,8,1,Model,1843.28,5,0,0,1753.4366666666665
2019,8,1,Blend,1673.4600000000003,8,0,0,1733.8100000000002
2019,8,2,ADP order,1976.8999999999999,1,1,1,1751.7933333333333
2019,8,2,ADP value,1789.06,5,0,0,1733.3000000000002
2019,8,2,Model,1732.28,10,0,0,1749.5033333333333
2019,8,2,Blend,1806.48,5,0,0,1748.4233333333334
2019,8,3,ADP order,1883.3200000000004,3,1,0,1749.7766666666666
2019,8,3,ADP value,1865.7400000000005,2,1,0,1735.3083333333336
2019,8,3,Model,1732.28,10,0,0,1749.5033333333333
2019,8,3,Blend,1883.1599999999999,3,1,0,1751.015
2019,8,4,ADP order,1788.02,6,0,0,1750.388333333333
2019,8,4,ADP value,1789.74,6,0,0,1733.2766666666666
2019,8,4,Model,1664.98,9,0,0,1756.3566666666668
2019,8,4,Blend,1700.1000000000001,8,0,0,1746.4850000000004
2019,8,5,ADP order,1675.26,10,0,0,1749.0216666666668
2019,8,5,ADP value,1693.6200000000001,7,0,0,1734.8300000000002
2019,8,5,Model,1664.98,9,0,0,1756.3566666666668
2019,8,5,Blend,1770.24,4,0,0,1729.3183333333334
2019,8,6,ADP order,1592.22,11,0,0,1762.9983333333332
2019,8,6,ADP value,1700.9400000000003,7,0,0,1735.2883333333336
2019,8,6,Model,1579.9800000000002,11,0,0,1762.551666666667
2019,8,6,Blend,1804.2200000000003,5,0,0,1747.9616666666664
2019,8,7,ADP order,1599.28,11,0,0,1751.2233333333334
2019,8,7,ADP value,1729.7600000000002,7,0,0,1736.6516666666669
2019,8,7,Model,1579.9800000000002,11,0,0,1762.551666666667
2019,8,7,Blend,1804.2200000000003,5,0,0,1747.9616666666664
2019,8,8,ADP order,1540.5200000000002,12,0,0,1752.743333333333
2019,8,8,ADP value,1836.76,4,0,0,1758.2350000000004
2019,8,8,Model,1579.9800000000002,11,0,0,1762.551666666667
2019,8,8,Blend,1745.2999999999997,5,0,0,1720.305
2019,8,9,ADP order,1878.5199999999998,4,0,0,1765.2683333333327
2019,8,9,ADP value,1818.2,5,0,0,1761.825
2019,8,9,Model,1579.9800000000002,11,0,0,1762.551666666667
2019,8,9,Blend,1745.2999999999997,5,0,0,1720.305
2019,8,10,ADP order,1837.2199999999998,4,0,0,1740.0216666666668
2019,8,10,ADP value,1818.2,5,0,0,1761.825
2019,8,10,Model,1547.48,11,0,0,1748.5183333333334
