fmt,season,ranker,draft_value,mae,rho_QB,rho_RB,rho_WR,rho_TE,rho_avg
half,2025,Blend 50/50,0.8568324287864932,56.71669044412869,-0.10676691729323308,0.6795668577963325,0.4541602412252853,0.035714285714285705,0.2656686168606676
half,2025,Stack linear,0.8733333101546829,57.235220741279065,-0.08120300751879699,0.6570955575465178,0.45521610474113483,0.08214285714285713,0.2783128779779282
half,2025,Stack GB,0.8546350927088078,56.680803368367634,-0.060150375939849614,0.7094743129597335,0.4012003501408317,0.28571428571428564,0.3340596432187503
half,2025,Stack avg,0.8896568748457171,56.377796370597466,-0.11278195488721804,0.6973159282835053,0.41692715935059077,0.25357142857142856,0.31375814032957666
ppr,2021,ADP,0.7312778239217089,59.015151008352284,0.7002442002442002,0.6235863591539119,0.45148797018579073,0.30782266124414,0.5207852977070108
ppr,2021,Model,0.7520599693480732,56.950819672131146,0.7051282051282052,0.6171765734265734,0.5521972250616276,0.5117198735544785,0.5965554692927212
ppr,2021,Blend 50/50,0.7930751667263254,56.787554989127,0.7716727716727717,0.6283216783216783,0.5520510783120166,0.5117198735544785,0.6159413504652362
ppr,2021,Stack linear,0.7664302321136274,58.54482452100077,0.3162393162393162,0.6283216783216783,0.5559056988330078,0.45636827575277994,0.48920874228669553
ppr,2021,Stack GB,0.7544405328291868,59.464262884578666,0.7167277167277167,0.6197115384615385,0.4466244668113498,0.271674679006296,0.5136846002517252
ppr,2021,Stack avg,0.7610783083750654,57.60329474432723,0.6575091575091575,0.6454108391608392,0.5203737703338228,0.35413726348637753,0.5443577576225493
ppr,2022,ADP,0.8687630090000295,53.29157463665306,0.4586466165413533,0.5212868892114174,0.5892703334563801,0.37499999999999994,0.48605095980228774
ppr,2022,Model,0.8318980680718832,57.95664383561644,0.42105263157894735,0.4375907111756169,0.6616731009595717,0.3928571428571428,0.47829339664281967
ppr,2022,Blend 50/50,0.849725894872622,53.63480933528174,0.5172932330827067,0.5189485566844056,0.6728394113104932,0.36785714285714277,0.5192345859836871
ppr,2022,Stack linear,0.8401248864002815,54.08475231807173,0.512781954887218,0.5134655700693436,0.6762539029054032,0.3714285714285714,0.5184824998226341
ppr,2022,Stack GB,0.8321362610301662,58.28401301886143,0.18496240601503755,0.42049669408159973,0.5512712060574841,0.5214285714285714,0.4195397193956732
ppr,2022,Stack avg,0.8369001201958314,55.54514709152278,0.4195488721804511,0.4805676503789711,0.6221757387265595,0.48214285714285704,0.5011087796072097
ppr,2023,ADP,0.6674956808228535,60.04289311207229,0.2869565217391304,0.4001168907071888,0.7245033212447645,0.21654135338345865,0.40702952176863555
ppr,2023,Model,0.6373136727068184,61.34666666666667,0.18521739130434778,0.5039158386908242,0.6197556460570158,0.43458646616541347,0.4358688355544003
ppr,2023,Blend 50/50,0.6383301860259553,58.11234581054777,0.2643478260869565,0.492635885447107,0.6866345797852645,0.39097744360902253,0.45864893373208765
ppr,2023,Stack linear,0.6738920808389248,58.31687446739318,0.29304347826086957,0.48591466978375225,0.6704924102184374,0.3924812030075188,0.46048294031764453
ppr,2023,Stack GB,0.612640122142312,63.276482878996674,0.15130434782608695,0.29637638807714795,0.6282265827471306,0.39999999999999997,0.3689768296625914
ppr,2023,Stack avg,0.6263530073526458,60.27397210414548,0.23826086956521736,0.36984219754529524,0.6636504998148832,0.4676691729323308,0.43485568496443167
ppr,2024,ADP,0.6356784107946026,62.10658052654033,0.32991452991452985,0.5524465808997192,0.4838149853033537,0.5112781954887218,0.46936357290158115
ppr,2024,Model,0.7354685157421289,62.087062146892656,0.3237606837606838,0.6354075494854587,0.43231415422507063,0.5308270676691729,0.4805773637850965
ppr,2024,Blend 50/50,0.6660869565217391,60.507808330944115,0.3456410256410256,0.6260437072527931,0.48764661006584675,0.5864661654135337,0.5114493770932997
ppr,2024,Stack linear,0.7254272863568213,61.621747841507826,0.3449572649572649,0.6268217119486822,0.4799336010698598,0.5338345864661653,0.49638679111049305
ppr,2024,Stack GB,0.6504235382308845,62.75243874228517,0.2622222222222222,0.5902554912418927,0.4776867680145071,0.5864661654135337,0.4791576617230389
ppr,2024,Stack avg,0.6827773613193404,61.4082418633447,0.3203418803418803,0.6123174815467489,0.48315294395514136,0.593984962406015,0.5024493170624464
ppr,2025,ADP,0.6954830923272914,59.221605286524785,0.08868087270123381,0.6274868931793981,0.5284028191481562,0.41142273267877105,0.41399832942688974
ppr,2025,Model,0.6410835214446952,58.517365853658525,0.06157635467980294,0.6094621046885639,0.5153760879823589,0.41538461538461535,0.40044979068383524
ppr,2025,Blend 50/50,0.6837047135864829,56.575734883470325,0.070935960591133,0.6416208791208791,0.5289311559252072,0.416068376068376,0.4143890929263988
ppr,2025,Stack linear,0.6871205179208666,56.660438734575685,0.10344827586206895,0.6342948717948718,0.531214325568892,0.4092307692307692,0.4195470606141505
ppr,2025,Stack GB,0.6724627316004738,56.835127197106694,0.0881773399014778,0.6301739926739925,0.5209519541998666,0.46871794871794875,0.4270053088733214
ppr,2025,Stack avg,0.6840846612877992,56.31934272916959,0.07931034482758618,0.6386904761904761,0.5253460135095039,0.43042735042735036,0.41844354623872915
std,2021,ADP,0.7097274650142288,45.44808579959246,0.6536198227351299,0.6524025385609873,0.4474085749258036,0.4940711462450593,0.561875520616745
std,2021,Model,0.6724032958558267,42.65868421052632,0.7137383689107826,0.6421979826034174,0.5796158586375612,0.5019762845849802,0.6093821236841854
std,2021,Blend 50/50,0.729503501959564,43.148439696869744,0.7766830870279146,0.6639373204993751,0.5720705237501826,0.5256916996047432,0.6345956577205538
std,2021,Stack linear,0.7104084642340113,43.790091028376274,0.5610290093048714,0.6667239257081635,0.5728921268823639,0.541501976284585,0.585536759544996
std,2021,Stack GB,0.6933023050245116,45.27671923605672,0.665024630541872,0.6622195501651907,0.46179126251842956,0.4525691699604743,0.5604011532964916
std,2021,Stack avg,0.7397635895423775,43.40873557862018,0.6447728516694033,0.6931012435064196,0.535702009593018,0.5306324110671937,0.6010521289590087
std,2022,ADP,0.6883670871768157,44.12918868414821,0.4624505928853756,0.5882847096802954,0.595837721663556,0.45112781954887216,0.5244252109445249
std,2022,Model,0.7068256316252464,46.28230769230769,0.46583850931677023,0.5312500000000001,0.6621641731680754,0.37744360902255636,0.5091740728768506
std,2022,Blend 50/50,0.6901755920642019,43.66313482392743,0.531338226990401,0.5747407834101382,0.6710241646978629,0.46917293233082696,0.5615690268573074
std,2022,Stack linear,0.6979059675746868,44.167841096060556,0.5550536420101638,0.5743567588325652,0.6702228734742387,0.4766917293233082,0.569081250910069
std,2022,Stack GB,0.659529297287734,46.04692027024719,0.5697346132128742,0.5024961597542242,0.5755789329467408,0.30526315789473685,0.4882682159521441
std,2022,Stack avg,0.6604433785623368,44.54528335978945,0.5923207227555054,0.5552035330261136,0.6442152497588933,0.4586466165413533,0.5625965305204664
std,2023,ADP,0.557728830579144,48.49012080010071,0.23616600790513834,0.4657578281886457,0.5676363287250384,0.26373212942061697,0.38332307355985984
std,2023,Model,0.602730904407431,48.8079393939394,0.10968379446640317,0.5319111630625366,0.5405625960061444,0.49567510086764,0.419458163600681
std,2023,Blend 50/50,0.5817634089371085,46.95547571895511,0.20454545454545459,0.518293395675044,0.5763728878648233,0.4422715619274239,0.43537082500318647
std,2023,Stack linear,0.5818179833657143,47.09975490485326,0.21739130434782608,0.5213909994155466,0.5814612135176652,0.44904102460998646,0.4423211354727561
std,2023,Stack GB,0.5762295618764873,49.854496581403694,0.1808300395256917,0.46282875511396854,0.5114247311827957,0.3452425968106931,0.3750815306582873
std,2023,Stack avg,0.544849265428191,47.92522992731961,0.2065217391304348,0.4893045002922268,0.5356182795698925,0.3978939732306246,0.40733462305579465
std,2024,ADP,0.678465357844556,49.26654540034249,0.34839073969508755,0.5362091037958309,0.4067397931017929,0.4674922600619195,0.4397079741636577
std,2024,Model,0.713545395007387,49.75256250000001,0.28289102202145683,0.5883458646616542,0.3534988659392652,0.40144478844169246,0.4065451352660172
std,2024,Blend 50/50,0.6973628097537201,48.46758813598577,0.3077357425183513,0.5791418200674099,0.4202479388736145,0.48606811145510836,0.448298403228621
std,2024,Stack linear,0.7034741154789285,48.52478614705403,0.32128740824393004,0.5791418200674099,0.41695968896638486,0.47781217750258,0.44880027369507625
std,2024,Stack GB,0.6808984571332837,50.01947779015725,0.3314511575381141,0.5119263676432462,0.41734371815263066,0.48606811145510836,0.43669733869727484
std,2024,Stack avg,0.7214082276071097,48.8585039551425,0.3167701863354037,0.5532149338864403,0.4239682216153708,0.48813209494324045,0.4455213591951138
std,2025,ADP,0.627258683237576,47.45179149443062,0.09963049224270823,0.6576438019071054,0.47529811647639464,-0.08565531475748193,0.2867292739671816
std,2025,Model,0.6816536772491363,48.00612021857923,0.09742747673782157,0.6020608692073369,0.4620301050220157,0.2115583075335397,0.3432691896251785
std,2025,Blend 50/50,0.67922358577355,46.244861970355934,0.08976464148877941,0.6631008733174812,0.49404059529044536,0.12487100103199174,0.34294427778217446
std,2025,Stack linear,0.6991546753224209,46.44476082012281,0.11932129173508485,0.6606401340700399,0.49404059529044536,0.1042311661506708,0.3445582968115602
std,2025,Stack GB,0.6864314106681015,48.22531739845542,0.03284072249589491,0.6649122508190701,0.4628518196237815,0.23426212590299278,0.34871672971043477
std,2025,Stack avg,0.7059242158615541,46.75541890196583,0.0016420361247947454,0.6691160137001159,0.4852327585706778,0.21775025799793604,0.3434352665983811
